Date;Type;Sport;Label;Odds;Stake;State;Bookmaker
2024-11-03 16:30;S;Football;Borussia M'gladbach VS Werder Bremen --Prediction Away Win;3.3;5;P;Unibet
2024-11-02 14:30;S;Football;Holstein Kiel VS Heidenheim --Prediction Draw;3.62;5;P;1xbet
2024-11-02 17:00;S;Football;Red Star Belgrade VS Vojvodina --Prediction Home Win;1.24;5;P;1xbet
2024-11-04 15:30;S;Football;Mladost Lučani VS Spartak Subotica --Prediction Home Win;1.0;5;P;bet365
2024-11-02 13:00;S;Football;Novi Pazar VS IMT Novi Beograd --Prediction Home Win;1.92;5;P;1xbet
2024-11-03 18:30;S;Football;Bačka Topola VS Partizan --Prediction Away Win;2.66;5;P;BetClic
2024-11-02 11:00;S;Football;İnter Bakı VS Zira --Prediction Away Win;1.72;5;P;bet365
2024-11-03 12:00;S;Football;Kapaz VS Sabail FK --Prediction Draw;3.6;5;P;bet365
2024-11-03 15:00;S;Football;Sumqayıt VS Sabah --Prediction Away Win;1.83;5;P;bet365
2024-11-04 15:30;S;Football;Asteras Tripolis VS OFI --Prediction Away Win;1.0;5;P;bet365
2024-11-02 18:30;S;Football;Kallithea VS Panaitolikos --Prediction Away Win;3.1;5;P;bet365
2024-11-03 14:30;S;Football;Aris VS Levadiakos --Prediction Home Win;1.56;5;P;1xbet
2024-11-03 15:00;S;Football;Volos NFC VS Panathinaikos --Prediction Away Win;1.54;5;P;1xbet
2024-11-02 15:00;S;Football;Olympiakos Piraeus VS Panserraikos --Prediction Home Win;1.17;5;P;bet365
2024-11-03 12:30;S;Football;KRC Genk VS Royal Antwerp FC --Prediction Home Win;1.98;5;P;bwin
2024-11-02 15:00;S;Football;Standard Liège VS Sint-Truiden --Prediction Home Win;2.25;5;P;10Bet
2024-11-02 19:45;S;Football;KV Mechelen VS Union Saint-Gilloise --Prediction Home Win;3.85;5;P;Unibet
2024-11-03 18:15;S;Football;Beerschot-Wilrijk VS KAA Gent --Prediction Away Win;1.8;5;P;bwin
2024-11-02 12:30;S;Football;Blackburn Rovers VS Sheffield United --Prediction Home Win;2.9;5;P;Dafabet
2024-11-01 20:00;S;Football;Luton Town VS West Bromwich Albion --Prediction Away Win;2.9;5;P;Dafabet
2024-11-02 15:00;S;Football;Middlesbrough VS Coventry City --Prediction Home Win;1.75;5;P;William Hill
2024-11-02 15:00;S;Football;Queens Park Rangers VS Sunderland --Prediction Away Win;2.14;5;P;Dafabet
2024-11-03 11:30;S;Football;Paksi SE VS Diósgyőr --Prediction Home Win;1.7;5;P;Tipico
2024-11-03 16:00;S;Football;Videoton VS Kecskeméti TE --Prediction Home Win;2.0;5;P;Tipico
2024-11-03 18:15;S;Football;Rosenborg VS Strømsgodset --Prediction Home Win;1.57;5;P;Unibet
2024-11-03 16:00;S;Football;Odd VS Brann --Prediction Away Win;1.53;5;P;Dafabet
2024-11-02 17:00;S;Football;Viking VS Sandefjord --Prediction Home Win;1.57;5;P;10Bet
2024-11-03 20:00;S;Football;Athletic Club Bilbao VS Real Betis --Prediction Home Win;1.89;5;P;1xbet
2024-11-03 13:00;S;Football;Atlético Madrid VS UD Las Palmas --Prediction Home Win;1.3;5;P;BetCRIS
2024-11-04 20:00;S;Football;Celta de Vigo VS Getafe CF --Prediction Home Win;1.0;5;P;bet365
2024-11-02 15:15;S;Football;Girona FC VS Leganés --Prediction Home Win;1.75;5;P;1xbet
2024-11-02 13:00;S;Football;CA Osasuna VS Real Valladolid --Prediction Home Win;1.67;5;P;1xbet
2024-11-01 20:00;S;Football;Deportivo Alavés VS RCD Mallorca --Prediction Away Win;3.35;5;P;Unibet
2024-11-02 20:00;S;Football;Valencia CF VS Real Madrid --Prediction Away Win;1.5;5;P;1xbet
2024-11-04 19:30;S;Football;Zagłębie Lubin VS Śląsk Wrocław --Prediction Home Win;2.37;5;P;bet365
2024-11-02 19:15;S;Football;Puszcza Niepołomice VS Lech Poznań --Prediction Away Win;1.68;5;P;NordicBet
2024-11-03 15:15;S;Football;Almería VS Córdoba --Prediction Home Win;1.71;5;P;Dafabet
2024-11-02 13:00;S;Football;SD Eibar VS Elche CF --Prediction Home Win;2.59;5;P;bet365
2024-11-04 19:30;S;Football;Levante UD VS Málaga CF --Prediction Home Win;1.0;5;P;bet365
2024-11-03 13:00;S;Football;Real Oviedo VS Burgos CF --Prediction Home Win;1.88;5;P;1xbet
2024-11-02 17:30;S;Football;Real Zaragoza VS Granada CF --Prediction Away Win;3.74;5;P;bet365
2024-10-22 18:45;S;Football;Birmingham City VS Bolton Wanderers --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Bristol Rovers VS Shrewsbury Town --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Burton Albion VS Wycombe Wanderers --Prediction Away Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Crawley Town VS Lincoln City --Prediction Away Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Exeter City VS Reading --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Stevenage VS Cambridge United --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Wrexham VS Huddersfield Town --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Bristol Rovers VS Shrewsbury Town --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Exeter City VS Reading --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Stevenage VS Cambridge United --Prediction Home Win;1.0;5;P;bet365
2024-11-02 14:00;S;Football;Carrarese VS Juve Stabia --Prediction Away Win;1.0;5;P;bet365
2024-11-03 14:00;S;Football;Cesena VS Südtirol --Prediction Home Win;1.0;5;P;bet365
2024-11-03 16:15;S;Football;Sassuolo VS Mantova --Prediction Home Win;1.0;5;P;bet365
2024-11-02 14:00;S;Football;Spezia VS Modena --Prediction Home Win;1.0;5;P;bet365
2024-11-02 15:30;S;Football;Rio Ave FC VS Casa Pia --Prediction Home Win;2.19;5;P;Dafabet
2024-11-04 20:15;S;Football;CD Nacional VS Santa Clara --Prediction Away Win;1.0;5;P;bet365
2024-11-02 20:30;S;Football;Gil Vicente VS Boavista FC --Prediction Home Win;1.71;5;P;Dafabet
2024-11-02 14:00;S;Football;Elfbet365rg VS Västerås SK --Prediction Home Win;1.54;5;P;1xbet
2024-11-03 15:30;S;Football;Halmstad VS Djurgården --Prediction Away Win;1.79;5;P;1xbet
2024-11-01 17:00;S;Football;Šibenik VS Dinamo Zagreb --Prediction Away Win;1.36;5;P;Dafabet
2024-11-09 15:00;S;Football;AFC Wimbledon VS Grimsby Town --Prediction Home Win;1.0;5;P;bet365
2024-11-03 16:00;S;Football;Auxerre VS Rennes --Prediction Home Win;3.6;5;P;1xbet
2024-11-01 18:00;S;Football;Monaco VS Angers SCO --Prediction Home Win;1.25;5;P;1xbet
2024-11-03 16:00;S;Football;Le Havre VS Montpellier --Prediction Draw;3.6;5;P;Dafabet
2024-11-03 19:45;S;Football;Nantes VS Olympique Marseille --Prediction Away Win;2.06;5;P;1xbet
2024-11-02 18:00;S;Football;Brest VS Nice --Prediction Home Win;2.75;5;P;1xbet
2024-11-02 16:00;S;Football;PSG VS Lens --Prediction Home Win;1.48;5;P;1xbet
2024-11-03 09:00;S;Football;Shakhter Karagandy VS Aktobe --Prediction Away Win;1.0;5;P;bet365
2024-11-02 14:00;S;Football;CS Marítimo VS FC Penafiel --Prediction Away Win;4.3;5;P;Tipico
2024-11-02 11:00;S;Football;Portimonense VS FC Vizela --Prediction Away Win;2.75;5;P;bet365
2024-11-04 18:00;S;Football;CD Tondela VS UD Oliveirense --Prediction Home Win;1.0;5;P;bet365
2024-11-03 11:00;S;Football;Academico Viseu VS Benfica II --Prediction Away Win;3.48;5;P;bet365
2024-10-31 19:30;S;Football;Grasshopper VS Lugano --Prediction Away Win;2.16;5;P;bet365
2024-10-31 19:30;S;Football;Servette VS Luzern --Prediction Home Win;1.9;5;P;Interwetten
